"submission_id","full_name","email","phone","role","already_placed","submitted_at"
"SU-1001","Nikola Mbeki","nikola.mbeki@crew.test","+1-555-1696","cleaner","yes","2026-06-01T07:05:00Z"
"SU-1002","Bhupen Santos","bhupen.santos@crew.test","1-555-1424","warehouse","no","2026-06-01T07:30:00Z"
"SU-1003","Maria de la Cruz","maria.delacruz@mail.test","+1-555-0101","Line Cook","no","2026-06-01T09:40:00Z"
"SU-1004","Emmy Jansen","emmy.jansen@crew.test","+1-555-7085","cashier","no","2026-06-02T08:15:00Z"
"SU-1005","Tim Wang","tim.wang@crew.test","+1-555-2582","cashier","yes","2026-06-02T09:20:00Z"
"SU-1006","Idris Bello","idris.bello@mail.test","555-0202","barista","no","2026-06-02T11:30:00Z"
"SU-1007","CHARLES ROSSI","c.rossi@mail.test","+1 555 3495","Driver","no","2026-06-04T16:20:00Z"
"SU-1008","Hana Kobayashi","hana.k@mail.test","+1-555-0303","host","no","2026-06-02T14:00:00Z"
"SU-1009","Sophie Byrne","sophie.byrne@crew.test","555.7800","cleaner","no","2026-06-03T12:00:00Z"
"SU-1010","Owen Fitzgerald","owen.fitzgerald@mail.test","+1-555-0404","stocker","no","2026-06-03T13:20:00Z"
"SU-1011","  EMMY   JANSEN ","e.jansen+shifts@mail.test","(555) 7085","","no","2026-06-05T14:40:00Z"
"SU-1012","  maria   de la cruz","","(555) 0101","line cook","no","2026-06-04T18:00:00Z"
"SU-1013","Priya Raghunathan","priya.r@mail.test","5550505","Dishwasher","yes","2026-06-04T08:00:00Z"
"SU-1014","idris bello","","+1 555 0202","","no","2026-06-08T06:10:00Z"
"SU-1015","Charles Rossi","charles.rossi@crew.test","555-3495","driver","no","2026-06-02T10:10:00Z"
"SU-1016","hana kobayashi","hana.kobayashi@mail.test","555.0303","Host","no","2026-06-01T10:00:00Z"
"SU-1017","TIM  WANG","tim.wang+2@mail.test","555 2582","Cashier","yes","2026-06-05T07:55:00Z"
"SU-1018","Sam Okoro","sam.okoro@mail.test","(555) 0606","server","yes","2026-06-05T09:30:00Z"
"SU-1019","emmy jansen","","555.7085","Cashier","no","2026-06-03T09:00:00Z"
"SU-1020","MARIA DE LA CRUZ","M.DeLaCruz+agency@mail.test","5550101","","no","2026-06-06T13:15:00Z"
"SU-1021","bhupen  santos","b.santos@mail.test","5551424","Warehouse","no","2026-06-06T11:05:00Z"
"SU-1022","IDRIS  BELLO","I.Bello+eu@mail.test","5550202","","no","2026-06-05T15:00:00Z"
"SU-1023"," sophie byrne ","s.byrne+temp@mail.test","+1 (555) 7800","","no","2026-06-07T08:45:00Z"
"SU-1024","priya  RAGHUNATHAN","","+1-555-0505","dishwasher","yes","2026-06-07T17:30:00Z"
"SU-1025","Maria De La  Cruz","maria.delacruz@mail.test","1-555-0101","line_cook","no","2026-06-06T13:15:00Z"
"SU-1026","OWEN  fitzgerald","o.fitzgerald+nights@mail.test","5550404","","no","2026-06-07T19:05:00Z"
"SU-1027","sam okoro","","+1 (555) 0606","Server","yes","2026-06-02T16:45:00Z"
